"Grouped Product Promotions","Grouped Product Promotions"
"Extension Enabled","Extension Enabled"
"Yes","Yes"
"No","No"
"Save Settings","Save Settings"
"Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:","Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:"
"Settings have been saved","Settings have been saved"
"Settings have not been save","Settings have not been save"
"The extension has been registered","The extension has been registered"
"Wrong s/n!","Wrong s/n!"
"Current Configuration Scope:","Current Configuration Scope:"
"Options","Options"
"Title","Title"
"Promotion Rules","Promotion Rules"
"Status","Status"
"Date From","Date From"
"Date To","Date To"
"Delete Rule","Delete Rule"
"Create New Rule","Create New Rule"
"Inactive","Inactive"
"Active","Active"
"Minimum Quantity and Discounts:","Minimum Quantity and Discounts:"
"In Set:","In Set:"
"QTY:","QTY:"
"Fixed","Fixed"
"Percent","Percent"
"Discount:","Discount:"
"Customer Groups:","Customer Groups:"
"Our Promotions","Our Promotions"
"OFF!","OFF!"
"OFF each!","OFF each!"
"Price:","Price:"
"Discount:","Discount:"
"Total:","Total:"
"Add to Cart","Add to Cart"
"Position","Position"
"Show promoset on this product", "Show promoset on this product"
"Configure Product","Configure Product"