"Add me to the newsletter","Dodaj mnie do newslettera"
"Custom e-mail template","Własny szablon e-maila"
"E-mail","E-mail"
"E-mail subject","Tytuł e-maila"
"Inform me","Poinformuj mnie"
"Product unavailable!","Produkt niedostępny!"
"Sender e-mail","E-mail wysyłającego"
"Sender name","Nazwa wysyłającego"
"There was an error while processing your request. Please, try again.","Wystąpił błąd podczas przetwarzania formularza. Spróbuj ponownie."
"This product is currently unavailable. Do you want to be informed when it will be available again?","Ten produkt jest obecnie niedostępny. Czy chcesz być poinformowany, kiedy znów będzie dostępny?"
"You have already submitted the request to inform you when this product becomes available. Please wait patiently.","Wysłałeś już do nas prośbę o poinformowanie Cię, gdy ten produkt będzie dostępny. Prosimy, czekaj cierpliwie na wiadomość."
"Your request has been sent.","Twoja prósba została wysłana."