"IAI-Shop settings","IAI-Shop ustawienia"
"IAI-Shop API Login Data","Dane do logowania do IAI-Shop API"
"Store ID","ID sklepu"
"URL","Adres URL"
"Password","Hasło"
"Minimum Length - 8 characters","Minimum 8 znaków"
"Save","Zapisz"
"Settings saved!","Ustawienia zapisane!"
"Leave empty for no change","Pozostaw pole puste jeżeli nie chcesz wprowadzić zmian"
"IAI-Shop Delivery","IAI-Shop Dostawcy"
"Order %s from Modago","Zamówienie %s z Modago"
"Order %s was imported to IAI Shop at number %s (%s)","Zamówieinie %s zaimportowane do IAI-Shop z numerem %s (%s)"