"Account password management","Zarządzanie hasłem do konta"
"Password has been saved","Hasło zostało zmienione"
"Change password","Zmień hasło"
"Address","Adresy"
"Couriers","Kurierzy"
"Tier Commissions","Tabela prowizji"
"Associated Products","Przypisane produkty"
"Return Reasons","Przyczyny zwrotów"
"GH API Settings","Ustawienia GH API"
"Send Confirmation Email","Wysyłka maila potwierdzającego"
"Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email.","Wysyłka maila potwierdzającego. Hasło będzie wysłane do sprzedawcy po kliknięciu w link w mailu potwierdzającym"
"Leave empty for no change","Pozostaw puste przy braku zmian"
"Phone number is required for FedEx label printing","Telefon sklepu wymagany przez kuriera FedEx"
"New Order Notification Method","Metoda powiadamiania o nowych zamówieniach"
"* Email notification By Status","* W zależności od statusu"
"Notify vendor on PO Status","Powiadom sprzedawcę w statusie PO"
"Shop group","Grupa sklepów"
"URL key","Klucz URL"
"Delete Image","Usuń obrazek"
"External id (Converters)","Zewnętrzne ID (Konwertery)"
"Super vendor","Sprzedawca nadrzędny"
"Customer can ask?","Możliwość wysyłania zapytań"
"Sequence","Kolejność"
"Vendor on main page in customized sequence","Kolejność sprzedawcy na stronie głównej"
"Product Review Status","PL - Product Review Status"
"Label store","Store"
"Root categories","Korzeń drzewa kategorii"
"Custom design","Ustawienia wyglądu"
"Shop group" ,"Grupa sklepów"
"Category ID","ID kategorii"
"Max shipping days","Maksymalny czas dostarczenia"
"Number of days. Leave empty or enter negative number to use default value. (Default value is: 0 )","Liczba dni. Pozostaw puste lub ujemne aby użyć wartości domyślnej. (Domyślnie 0)"
"Max shipping time","Maksymalna godzina wysyłki"
"Time after which one day will be added to Max shipping days. Enter 00:00:00 to use default value. (Default value is: 00)","Godzina po której będzie zwiększany czas dostarczenia przesyłki o jeden dzień. 00:00:00 oznacza wartość domyślną. (Domyślnie 00)"
"Allow customers review/rate vendor","Czy klient może oceniać sprzedawcę"
"Marketing content","Ustawienia marketingowe"
"Country","Kraj"
"State","Województwo"
"Billing Address","Adres do faktury"
"Telephone","Telefon"
"Leave empty to use default","Pozostaw puste żeby użyć domyślnych"
"Leave empty to use shipping origin","Pozostaw puste żeby użyć wartości z dostawy"
"RMA executive: Email","RMA Osoba odpowiedzialna: email"
"Contact phone","Telefon kontaktowy"
"RMA contact data: Email","Dział RMA: Email"
"RMA contact data: Phone","Dział RMA: Telefon"
"RMA executive: Mobile","RMA osoba odpowiedzialna: Telefon komórkowy"
"RMA executive: Phone","RMA osoba odpowiedzialna: Telefon"
"Integration","Integracja"
"Stock Check Method","Metoda sprawdzania stoku"
"Attach PO Pdf to Notifications","Dodanie PDF z PO do powiadomień"
"Attach Packing Slip to Notifications","Dodawanie Packing Slip do powiadomień"
"Hide shipping amount in po pdf","Ukrywanie kosztu dostawy w PDF"
"Hide shipping amount in packingslip","Ukrywanie kosztu dostawy w packingslip"
"Attach Shipping Label to Notifications","Dodawanie listu przewozowego do powiadomień"
"Notify on low stock qty","Powiadamianie o małej ilości towaru"
"New Order Carbon Copy Emails","Adresy email ukrytej kopiii maila o nowym zamówieniu"
"Comma separated","Oddzielane przecinkami"
"Handling Type","PL Handling Type"
"Handling Action","PL Handling Action"
"Allowed Countries","Dozwolone kraje"
"Limit to zipcodes","Ograniczenia na kody pocztowe"
"Initial PO Status","Początkowy status PO"
"Initial Virtual PO Status","Początkowy status wirtualnego PO"
"Initial Customer Shipment Status","Początkowy status dostawy dla klienta"
"Default PO sort by in vendor interface","Sposób sortowania PO w interfejsie sprzedawcy"
"Default PO sort direction in vendor interface","Kierunek sortowania PO w interfejsie sprzedawcy"
"Default PO status filter in vendor interface","Filtry statusów w interfejsie sprzedawcy"
"Default Shipping Method Pattern","Domyślna metoda dostawy (wzorzec)"
"Use Vendor specific custom text on the bottom of packing slip","Użycie na packing slip zdefiniowanego tekstu sprzedawcy"
"Use Vendor specific custom text on the bottom of purchase order PDF","Użycie w PDF zdefiniowanego tekstu sprzedawcy"
"Show totals in vendor portal order view","Pokazanie podsumowania w widoku zamówienia dla sprzedawcy"
"Yes","Tak"
"No","Nie"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Disabled","Wyłączony"
"Vendors","Sprzedawcy"
"Pending","Oczekujące"
"Exported","Wyeksportowane"
"Acknowledged","Potwierdzone"
"Backorder","Zamówione"
"On Hold","Wstrzymane"
"Ready to Ship","Gotowe do wysłania"
"Pending Pickup","Oczekuje na zbiórkę"
"Label(s) printed","Etykieta wydrukowana"
"Shipped","Wysłane"
"Delivered","Otrzymane"
"Canceled","Anulowane"
"Subtotal Excl. Tax","Wartość zamówienia netto"
"Tax Value","Wartość podatku"
"Shipping Cost","Dostawa"
"Totals","Do zapłaty"
"Please enter valid email address","Proszę podać poprawny adres e-mail"
"Vendor portal","Panel zarządzania sklepem"
"Settings","Ustawienia"
"Order","Zamówienie"
"Orders","Zamówienia"
"Action","Akcja"
"Customer name","Nazwa klienta"
"Question date","Data pytania"
"Answer date","Data odpowiedzi"
"Product","Produkt"
"Questions","Obsługa zapytań klientów"
"Browse customer questions","W tym panelu możesz przeglądać, modyfikować i wysyłać zamówienia do klientów. Znajdź zamówienie i kliknij je, aby wejść   szczegóły."
"View","Przeglądaj"
"Manage placements","Powierzchnia reklamowa"
"Actions","Operacje"
"Company settings","Ustawienia podstawowe"
"Company data","Rejestracyjne dane firmy"
"Company registration data","Rejestracyjne dane firmy"
"Company contact data","Ogólne dane kontaktowe firmy"
"Main person responsible for cooperation","Głowna osoba kontaktowa odpowiedzialna za współpracę"
"Main person responsible for system administration","Konto głównej osoby odpowiedzialnej za administrację systemem"
"RMA address","Adres do zwrotów"
"Executive contact (business)","Główna osoba kontaktowa odpowiedzialna za współpracę"
"Administrator contact (ITC or business)","Konto głównej osoby  odpowiedzialnej za administrację systemem"
"Company name","Nazwa firmy"
"Short company name","Krótka nazwa firmy"
"Street and Number","Ulica i numer"
"City","Miasto"
"Zip / Postal code","Kod pocztowy"
"Tax identification no","Numer NIP"
"WWW","Firmowa strona www"
"Email","Adres e-mail"
"Phone","Numer telefonu"
"Name","Imię"
"Surname","Nazwisko"
"Phone ","Numer telefonu stacjonarny"
"Mobile","Numer telefonu komórkowy"
"Email (default login)","Adres e-mail (podstawowy login do zarządzania kontem)"
"New Password","Nowe hasło"
"Repeat New Password","Powtórz nowe hasło"
"Shipment settings","Sposoby dostawy"
"RMA settings","Reklamacje i zwroty"
"DHL Settings","Konfiguracja DHL"
"UPS Settings","Konfiguracja UPS"
"Return address","Adres do zwrotów"
"RMA contact data","Dane kontaktowe do działu odpowiedzianego za zwroty i reklamacje"
"RMA executive","Główna osoba odpowiedzialna za zwroty i reklamacje"
"RMA Shipping Settings","Spedytor obsługujący zwroty"
"Please enter the same value again.","Proszę ponownie wprowadzić wartość."
"Name and surname","Name i nazwisko"
"Basket slogan no 1","Hasło w koszyku nr 1"
"Basket slogan no 2","Hasło w koszyku nr 2"
"Product - Brand shop info","Produkt - Info o marce"
"Vendor type","Typ sprzedawcy"
"Question was successfully saved","Odpowiedź została zapisana i przesłana do klienta."
"Save","Zapisz"
"Cancel","Anuluj"
"Mass Actions","Zarządzanie opisami produktów"
"Size tables","Tabele rozmiarów"
"Use another DHL account for RMA","Użyj innego konta DHL do zwrotów"
"Use another UPS account for RMA","Użyj innego konta UPS do zwrotów"
"Account number","Numer konta (identyfikator)"
"DHL login","Login do DHL"
"RMA Settings","Ustawienia RMA"
"DHL account","Numer konta DHL (identyfikator)"
"DHL eCas id","Identyfikator eCas dla DHL"
"Terminal code","Kod terminala"
"UPS login","Login do UPS"
"UPS license key","Klucz licencyjny UPS"
"DHL password","Hasło do DHL"
"UPS password","Hasło do UPS"
"License key","Klucz licencyjny"
"Basket - Delivery info","Koszyk - Informacja o dostawie"
"Vendor name prefix","Przedrostek do nazwy vendora"
"Can be empty","Może być pusty"
"* Default (global setting)","* Domyślnie (ustawienia globalne)"
"Order Date","Data zamówienia"
"Customer","Klient"
"Use Custom HTML Customer Address Template For Vendors","Use Custom HTML Customer Address Template For Vendors - PL"
"Use Custom PDF Customer Address Template For Vendors","Use Custom PDF Customer Address Template For Vendors - PL"
"Statement","Statement - PL"
"Use Rates Fallback Chain","Use Rates Fallback Chain - PL"
"Enter custom data for this vendor.<br/>Each part should start with:<br/><pre>===== part_name =====</pre><br/>Parts can be referenced from product template like this:<xmp><?php echo Mage::helper('udropship')</xmp><br/><xmp>  ->getVendor($_product)</xmp><br/><xmp>  ->getData('part_name')?></xmp>","Dane specyficzne dla sprzedawcy.<br/>Każda sekcja powinna rozpoczynać się od:<br/><pre>===== nazwa_sekcji =====</pre><br/>Sekcje mogą być pobierane z szablonu produktu w następujący sposób:<xmp><?php echo Mage::helper('udropship')</xmp><br/><xmp>  ->getVendor($_product)</xmp><br/><xmp>  ->getData('part_name')?></xmp>"
"Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier","Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier - PL"
"asc","rosn"
"desc","malj"
"Default","Domyślnie"
"Code","Kod"
"Title","Nazwa"
"GH API","GH API"
"GH API Access","Dostęp do GH API"
"<br />Default value: %.2F. Leave empty to use default.","<br />Domyślne: %.2F. Pozostaw puste aby użyć wartości domyślnej."
"Brandshop settings","Ustawienia dla marek"
"Settings has been saved.","Ustawienia zostały zapisane."
"Vendor name","Nazwa sprzedawcy"
"Description on vendor page","Opis na stronie sprzedawcy"
"Customer can ask","Klient może zadawać pytania"
"Can add product","Można zakładać produkty"
"Vendor","Sprzedawca"
"Brandshop","Marka"
"Vendor description at brandshop page","Opis sprzedawcy na stronie marki"
"Vendor can add products to brandshop","Sprzedawca może zakładać produkty dla danej marki"
"Save settings","Zapisz ustawienia"
"Brandshop settings","Ustawienia marek"
"Brandshop settings details","Szczegóły ustawień dla marki"
"Select brandshop","Wybierz markę"
"Help","Pomoc"
"Billing address changed (%s)","Zmiana adresu płatnika (%s)"
"PO Split (#%s&rarr;#%s)","Podział zamówienia (#%s&rarr;#%s)"
"Items of #%s:","Produkty z #%s:"
"Item added %s","Dodano produkt %s"
"Item changed %s (%s)" ,"Zmieniono produkt %s (%s)"
"Message send to %s: %s","Wysłano wiadomość do %s: %s"
"Changed POS (%s&rarr;%s)","Zmiana POS (%s&rarr;%s)"
"Billing","Faktura"
"Item removed %s","Usunięto produkt %s"
"Legal entity","Podmiot"
"Insurance charge amount","Opłata stała za ubezpieczenie przesyłki"
"Insurance charge percent","Opłata % za ubezpieczenie przesyłki"
"Insurance charge %","Opłata % za ubezpieczenie przesyłki"
"COD charge amount","Opłata stała za pobranie (COD)"
"COD charge percent","Opłata % za pobranie (COD)"
"COD charge %","Opłata % za pobranie (COD)"
"DHL Rates","Cennik przesyłek DHL"
"UPS Rates","Cennik przesyłek UPS"
"Envelope","Koperta"
"Shipment charge","Opłata za przesyłkę"
"Basic settings","Ustawienia podstawowe"
"Vendor rights","Uprawnienia sprzedawcy"
"Logistics parameters","Parametry logistyki - sprzedawca"
"Shops/Brandshops rights","Uprawnienia do sklepów/marek"
"Vendor data","Dane sprzedawcy"
"Transaction data","Dane transakcyjne"
"CPC commission percent","Marża na koszty CPC"
"Marketing settings","Ustawienia marketingowe"
"Server IP","IP serwera"
"Security token","Token zabezpieczający"
"Status can be set to Active if regulations accepted","Pozwalamy na przełączenie statusu na aktywny - gdy regulamin zaakceptowany"
"Reset password button is active when vendor have status ACTIVE","Przycisk zresetuj hasło  aktywny  - gdy vendor aktywny"
"Send Reset password mail to vendor","Zresetuj hasło"
"Send regulation accept request button active when regulations accepted","Przycisk wyślij prośbę o akceptację regulaminu aktywny gdy regulamin niezaakceptowany"
"Vendor does not have assigned documents","Sprzedawca nie ma przypisanych dokumentów"
"Send regulation accept request","Wyślij prośbę o akceptację regulaminu"
"Your vendor account is not active.","Twoje konto sprzedawcy nie jest aktywne."
"Regulation Accept Request sent.","Prośba o akceptację regulaminu została wysłana."
"General Config","Konfiguracje ogólne"
"Integration config","Konfiguracja integracji"
"Sales management","Zarządzanie sprzedażą"
"Shipping Methods","Ustawienia dostawy"
"Websites allowed","Uprawnienia do witryn"
"Websites","Witryny"
"Vendor Portal","Panel sprzedawcy"
"Index By Google","Indeksowanie przez google"
"Index Products By Google","Indeksowanie przez google"
"Use vendor config","Użyj konfiguracji sprzedawcy"
"Use vendor and brandshop config","Użyj konfiguracji sprzedawcy i brandshopu"
"Create account SALESmanago account","Załóż konto w sales manago"
"Account has been created. You will have information on %s about active account after verification","Konto zostało założone - po weryfikacji na adres email %s otrzymasz informację, że konto jest aktywne"
"This function will create account in Marketing Automation SalesManago using Vendor email and actual password. Do you want to continue?","Funkcja zakłada konto dla sprzedawcy w systemie Marketing Automation SalesManago. Konto będzie założone przy użyciu podstawowego adresu email sprzedawcy oraz aktualnego hasła. Czy kontytnuować?"
"Account created: %s, email for login: %s","Konto założone dnia: %s, email do logowania: %s"
"Check DHL Settings","Sprawdź konfigurację DHL"
"Automatic strikeout price by percent","Automatyczna cena przekreślona poprzez procentową różnicę"
"Automatic sale/promotion by percent","Automatyczna promocja/wyprzedaż poprzez procentową różnicę"
"When difference between effective price and msrp is >= % show sale/promotion flag","Gdy różnica między ceną msrp a regularną jest >= n% ustaw flagę promocji/wyprzedaży"
"RMA created successfully","RMA zostało utworzone"
"Use DPD","Wysyłaj przez DPD"
"DPD Settings","Konfiguracja DPD"
"DHL label type","Typ etykiety DHL"
